ORDRE;uai_mail;bdd iMFR;num_bee_etablissements;RNE iMFR;uai_code_educnationale;;Mail;uai_mail;uai_code_region;uai_region;uai_code_departement;uai_departement;uai_libelle_administratif;uai_libelle_communication;uai_debut_validite;uai_fin_validite;uai_siteweb;uai_telephone;uai_mail;uai_fax;uai_ministere_principal;uai_secteur;uai_nature;uaiprive_orgaffiliation;uaiprive_typecontrat;uai_code_siret;uai_libelle_educnationale;uai_eleve;uai_etudiant;uai_adulte;uai_apprenti;uai_code_commume;uai_commune;adressepostale_ligne1;adressepostale_ligne2;adressepostale_ligne3;adressepostale_ligne4;adressepostale_ligne5;adressepostale_ligne6;adressegeographique_ligne1;adressegeographique_ligne2;adressegeographique_ligne3;adressegeographique_ligne4;adressegeographique_ligne5;adressegeographique_ligne6;uai_niveau;uainiveau1_codedger;uainiveau1_libelle_administratif;uainiveau2_codedger;uainiveau2_libelle_administratif;date_jeu_donnees;coord_wgs84_x;coord_wgs84_y;uai_id_cdn;uai_codedger;uai_type;anneesco_cdn;annee_scolaire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
96;Libournais;33_libournais leseglisottes;10179;0332471G;0332471G;;mfr.Libournais@mfr.asso.fr;mfr.Libournais;75;Nouvelle-Aquitaine;33;Gironde;MFREO du Libournais à Les Eglisottes;Maison Familiale Rurale les Eglisottes;1999-09-01;;;0557695158;mfr.Libournais;0557495280;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;78189192400016;MAISON FAMILIALE RURALE DES EGLISOTTES;Oui;Non;Non;Oui;33138;COUTRAS;MAISON FAMILIALE RURALE LES EGLISOTTES;LES EGLISOTTES;;2 LA TOUR BLANCHE;;33230 COUTRAS;MAISON FAMILIALE RURALE LES EGLISOTTES;LES EGLISOTTES;;2 LA TOUR BLANCHE;;33230 COUTRAS;2;03305212;Association MFREO du Libournais aux Eglisottes;;;2020-09-29;-0.040927;45.097756;58;03300843;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
97;st-yzans-medoc;33_styzan;9584;0330175L;0332473J;Erreur RNE !;contact@mfr-vayres.fr@mfr.asso.fr;contact@mfr-vayres.fr;75;Nouvelle-Aquitaine;33;Gironde;MFREO de Vayres;Maison Familiale de Vayres;2002-09-01;;www.mfr-vayres.fr;0557748530;contact@mfr-vayres.fr;0557849370;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;78203159500013;MAISON FAMILIALE RURALE DE VAYRES;Oui;Non;Non;Oui;33539;VAYRES;MAISON FAMILIALE DE VAYRES;RN 89;;4 LAGRON;BP 4;33870 VAYRES;MAISON FAMILIALE DE VAYRES;;;4 LAGRON;;33870 VAYRES;2;03305112;Association de la MFREO de Vayres;;;2020-09-29;-0.321067;44.885147;57;03300744;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
98;vayres;33_vayres;10181;0332473J;0330175L;Erreur RNE !;mfr.st-yzans-medoc@mfr.asso.fr;mfr.st-yzans-medoc;75;Nouvelle-Aquitaine;33;Gironde;MFREO de Saint Yzans de Médoc;Maison Familiale Rurale de St Yzans de Médoc;1999-09-01;;http//mfr.st.yzans.free.fr;0556090517;mfr.st-yzans-medoc;0556090610;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;78200896500017;MAISON FAMILIALE RURALE DE ST YZANS - MEDOC;Oui;Non;Non;Oui;33493;SAINT YZANS DE MEDOC;MFR DE ST YZANS DE MEDOC;;;11 RUE DE RIGON;;33340 ST YZANS DE MEDOC;MFR DE ST YZANS DE MEDOC;;;11 RUE DE RIGON;;33340 ST YZANS DE MEDOC;2;03305012;Association de la MFREO de Saint Yzans de Médoc;;;2020-09-29;-0.821625;45.319718;56;03300645;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;baulon;35_baulon;45324;0352027N;0352027N;;mfr.baulon@mfr.asso.fr;mfr.baulon;53;Bretagne;35;Ille-et-Vilaine;MFREO de Baulon;MFREO de Baulon;1999-09-01;;www.mfr-baulon.fr;0299853603;mfr.baulon;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE BAULON;Oui;Non;Non;Oui;35016;BAULON;MFREO DE BAULON;;;12 RUE DU BIGNON;;35580 BAULON;MFREO DE BAULON;;;12 RUE DU BIGNON;;35580 BAULON;2;03505911;Association de la MFREO de Baulon;;;2020-09-29;-1.931642;47.989271;101;03500151;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100;fougeres;35_fougeres;45322;0352025L;0352025L;;mfr.fougeres@mfr.asso.fr;mfr.fougeres;53;Bretagne;35;Ille-et-Vilaine;MFREO de Fougères;MFREO de Fougères;1999-09-01;;www.mfr35.asso.fr;0299948400;mfr.fougeres;0299948401;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77768390500015;MAISON FAMILIALE RURALE DE FOUGERES;Oui;Non;Oui;Oui;35115;FOUGERES;MFREO DE FOUGERES;;;1 BIS RUE DES COTTERETS;;35300 FOUGERES;MFREO DE FOUGERES;;;1 BIS RUE DES COTTERETS;;35300 FOUGERES;2;03505612;Association de la MFREO de Fougères;;;2020-09-29;-1.191111;48.358992;166;03501438;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
101;Goven;35_goven;45370;0351975G;0351975G;;mfr.Goven@mfr.asso.fr;mfr.Goven;53;Bretagne;35;Ille-et-Vilaine;MFREO de Goven;MFREO de Goven;1999-09-01;;www.mfr-goven.fr;0299420126;mfr.Goven;0299420770;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77768721100014;MAISON FAMILIALE RURALE DE GOVEN;Oui;Non;Non;Non;35123;GOVEN;MFREO DE GOVEN;;;34 RUE DES CROIX DE ROCHE;;35580 GOVEN;MFREO DE GOVEN;;;34 RUE DES CROIX DE ROCHE;;35580 GOVEN;2;03506311;Association de la MFREO de Goven;;;2020-09-29;-1.841076;48.002681;172;03502032;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
102;hede;35_hede;45368;0351973E;0351973E;;mfr.hede@mfr.asso.fr;mfr.hede;53;Bretagne;35;Ille-et-Vilaine;MFREO La Chatière de Saint Symphorien à Hédé;Maison Familiale Rurale La Chatière;2002-09-01;;mfr-hede.fr;0299454612;mfr.hede;0299454558;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE HEDE - BAZOUGES;Oui;Non;Non;Non;35130;HEDE BAZOUGES;MAISON FAMILIALE RURALE LA CHATIERE;;;7 LA CHATIERE;SAINT SYMPHORIEN;35630 HEDE BAZOUGES;MAISON FAMILIALE RURALE LA CHATIERE;;;7 LA CHATIERE;;35630 HEDE BAZOUGES;2;03501097;Association MFREO La Chatière St Symphorien à Hédé;;;2020-09-29;-1.802577;48.294611;163;03501141;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
103;janze;35_janze;45323;0352026M;0352026M;;mfr.janze@mfr.asso.fr;mfr.janze;53;Bretagne;35;Ille-et-Vilaine;MFREO 'La Jaroussaye' de Janze;MFR 'La Jaroussaye';1999-09-01;;www.mfr-janze.fr;0299470452;mfr.janze;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE JANZE;Oui;Non;Non;Oui;35136;JANZE;MFR  LA JAROUSSAYE;LA JAROUSSAYE;;41 RUE DU BOIS ROUGE;;35150 JANZE;MFR  LA JAROUSSAYE;LA JARAOUSSAYE;;41 RUE DU BOIS ROUGE;;35150 JANZE;2;03506011;Association de la MFREO 'La Jaroussaye' de Janze;;;2020-09-29;-1.498517;47.969021;169;03501735;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;messac;35_messac;45369;0351974F;0351974F;;mfr.messac@mfr.asso.fr;mfr.messac;53;Bretagne;35;Ille-et-Vilaine;MFREO de Boeuvres à Messac;Maison Familiale Rurale de Messac;1999-09-01;;www.mfr-messac.fr;0299346129;mfr.messac;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77770469300020;MAISON FAMILIALE RURALE DE MESSAC;Oui;Non;Non;Oui;35176;GUIPRY MESSAC;MAISON FAMILIALE RURALE DE MESSAC;;;RUE DES PRES VONAUD;GUIPRY;35480 GUIPRY MESSAC;MAISON FAMILIALE RURALE DE MESSAC;;;RUE DES PRES VONAUD;GUIPRY;35480 GUIPRY MESSAC;2;03505711;Association de la MFREO de Boeuvres à Messac;;;2020-09-29;-1.832756;47.7791;167;03501537;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;montauban-bretagne;35_montauban;45367;0351972D;0351972D;;mfr.montauban-bretagne@mfr.asso.fr;mfr.montauban-bretagne;53;Bretagne;35;Ille-et-Vilaine;MFREO de Montauban de Bretagne;MFREO de Montauban de Bretagne (FS);1999-09-01;;;0299064256;mfr.montauban-bretagne;0299066127;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77770693800019;MAISON FAMILIALE RURALE DE MONTAUBAN;Oui;Non;Non;Oui;35184;MONTAUBAN DE BRETAGNE;MFREO DE MONTAUBAN DE BRETAGNE;;;LA ROUVRAIE;;35360 MONTAUBAN DE BRETAGNE;MFREO DE MONTAUBAN DE BRETAGNE;;;LA ROUVRAIE;;35360 MONTAUBAN DE BRETAGNE;2;03505212;Association de la MFREO de Montauban de Bretagne;;;2020-09-29;-2.075754;48.203152;164;03501240;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;montfort;35_montfort;44431;0352512R;0351978K;Erreur RNE !;mfr.st-aubin-aubigne@mfr.asso.fr;mfr.st-aubin-aubigne;53;Bretagne;35;Ille-et-Vilaine;MFREO de Saint Aubin d'Aubigné;MFREO de Saint Aubin d'Aubigné;1999-09-01;;www.mfr-staubin.fr;0299552081;mfr.st-aubin-aubigne;0299556582;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77775477100023;MAISON FAMILIALE RURALE DE ST AUBIN D'AUBIGNE;Oui;Non;Non;Oui;35251;SAINT AUBIN D AUBIGNE;MFREO DE SAINT AUBIN D AUBIGNE;;;4 ALLEE DU CLOS SIREUIL;;35250 ST AUBIN D AUBIGNE;MFREO DE SAINT AUBIN D AUBIGNE;;;4 ALLEE DU CLOS SIREUIL;;35250 ST AUBIN D AUBIGNE;2;03506211;Association de la MFREO de Saint Aubin d'Aubigné;;;2020-09-29;-1.606719;48.262387;171;03501933;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;st-aubin-aubigne;35_staubin;45361;0352868C;0352512R;Erreur RNE !;cfta.montfort@mfr.asso.fr;cfta.montfort;53;Bretagne;35;Ille-et-Vilaine;MFREO de Montfort sur Meu;MFREO de Montfort sur Meu;2002-09-01;;www.cfta-montfort.fr/;0299090233;cfta.montfort;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE MONTFORT SUR MEU;Oui;Non;Oui;Oui;35188;MONTFORT SUR MEU;MFREO DE MONTFORT SUR MEU;;;7 L ABBAYE;BP 56252;35160 MONTFORT SUR MEU;MFREO DE MONTFORT SUR MEU;BP 56252;;7 L ABBAYE;;35160 MONTFORT SUR MEU;2;03506411;Association de la MFREO de Montfort sur Meu;;;2020-09-29;-1.943395;48.130383;174;03502230;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;St-Gregoire;35_stgregoire;61367;0351976H;0351976H;;mfr.St-Gregoire@mfr.asso.fr;mfr.St-Gregoire;53;Bretagne;35;Ille-et-Vilaine;MFREO de Saint Grégoire;MFREO de Saint Grégoire;1999-09-01;;www.mfr35.asso.fr;0299688111;mfr.St-Gregoire;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77769814300024;MAISON FAMILIALE RURALE DE ST GREGOIRE;Oui;Non;Oui;Oui;35278;SAINT GREGOIRE;MFREO DE SAINT GREGOIRE;;;14 LES RABINARDIERES;BP 46325;35763 ST GREGOIRE CEDEX;MFREO DE SAINT GREGOIRE;;;14 LES RABINARDIERES;;35760 ST GREGOIRE;2;03505811;Association de la MFREO de Saint Grégoire;;;2020-09-29;-1.688799;48.178189;168;03501636;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;St-Grégoire MFU;35_stgregoire mfu;61367;0352475A;0352475A;;;;53;Bretagne;35;Ille-et-Vilaine;CFA MFU de Saint Grégoire;CFA MFU de Saint Grégoire;2020-09-01;;;;;;Ministère en charge de l'Agriculture;Privé;CFA;UNMFREO;;;OF CFA MAISON FAMILIALE URBAINE BRETA;Non;Non;Non;Oui;35278;SAINT GREGOIRE;CFA MFU DE SAINT GRÉGOIRE;;;12 LES RABINARDIERES;;35760 ST GREGOIRE;CFA MFU DE SAINT GRÉGOIRE;;;12 LES RABINARDIERES;;35760 ST GREGOIRE;2;03509904;OG du CFA MFU de Saint Grégoire;;;2020-09-29;;;6000000000036;03510003;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;St-Meen;35_stmeen;45325;0352028P;0352028P;;mfr.St-Meen@mfr.asso.fr;mfr.St-Meen;53;Bretagne;35;Ille-et-Vilaine;MFREO de Saint Méen Le Grand;MFREO de Saint Méen Le Grand (FS);1999-09-01;;www.mfr-stmeen.fr;0299096110;mfr.St-Meen;0299095982;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77777644400013;MAISON FAMILIALE RURALE DE ST MEEN LE GRAND;Oui;Non;Non;Oui;35297;SAINT MEEN LE GRAND;MAISON FAMILIALE RURALE;;;40 RUE DE MERDRIGNAC;;35290 ST MEEN LE GRAND;MAISON FAMILIALE RURALE;;;40 RUE DE MERDRIGNAC;;35290 ST MEEN LE GRAND;2;03506111;Association de la MFREO de Saint Méen Le Grand;;;2020-09-29;-2.195686;48.190436;170;03501834;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;azay;37_azaylerideau;61339;0371395R;0371395R;;mfr.azay@mfr.asso.fr;mfr.azay;24;Centre-Val de Loire;37;Indre-et-Loire;MFREO d'Azay Le Rideau;MFREO d'Azay Le Rideau;2002-09-01;;;0247456600;mfr.azay;0247452196;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77529170100024;MAISON FAMILIALE RURALE D'AZAY LE RIDEAU;Oui;Non;Non;Non;37014;AZAY LE RIDEAU;MFREO D AZAY LE RIDEAU;;;CHEMIN DE LA NORAIE;BP 14;37190 AZAY LE RIDEAU;MFREO D AZAY LE RIDEAU;;;CHEMIN DE LA NORAIE;;37190 AZAY LE RIDEAU;2;03702781;Association de la MFREO d'Azay le Rideau;;;2020-09-29;0.475154876631657;47.2626684288932;202;03700647;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;bourgueil;37_bourgueil;61349;0371423W;0371423W;;mfr.bourgueil@mfr.asso.fr;mfr.bourgueil;24;Centre-Val de Loire;37;Indre-et-Loire;MFREO du Grand Gibet à Bourgueil;MAISON FAMILIALE DE BOURGUEIL;2002-09-01;;mfrbourgueil.fr;0247977156;mfr.bourgueil;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77524634100017;MAISON FAMILIALE RURALE DE BOURGUEIL;Oui;Non;Non;Non;37031;BOURGUEIL;MAISON FAMILIALE DE BOURGUEIL;;;27 AVENUE REIMLINGEN;;37140 BOURGUEIL;MAISON FAMILIALE DE BOURGUEIL;;;27 AVENUE REIMLINGEN;;37140 BOURGUEIL;2;03702979;Association MFREO 'Le Grand Gibet' de Bourgueil;;;2020-09-29;0.174196;47.282803;204;03700845;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;La-Croix;37_lacroix;61348;0371422V;0371422V;;mfr.La-Croix@mfr.asso.fr;mfr.La-Croix;24;Centre-Val de Loire;37;Indre-et-Loire;MFREO de La Croix en Touraine;MFREO de La Croix en Touraine;2002-09-01;;;0247579444;mfr.La-Croix;0247579164;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77526184500017;MAISON FAMILIALE RURALE DE LA CROIX EN TOURAINE;Oui;Non;Non;Non;37091;LA CROIX EN TOURAINE;MFREO DE LA CROIX EN TOURAINE;;;17 RUE NATIONALE;;37150 LA CROIX EN TOURAINE;MFREO DE LA CROIX EN TOURAINE;;;17 RUE NATIONALE;;37150 LA CROIX EN TOURAINE;2;03702880;Association de la MFREO de La Croix en Touraine;;;2020-09-29;0.989674576448874;47.3399279678029;203;03700746;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;loches;37_loches;61318;0371486P;0371486P;;mfr.loches@mfr.asso.fr;mfr.loches;24;Centre-Val de Loire;37;Indre-et-Loire;MFR du Lochois à Loches;MFR du Lochois;2002-09-01;;www.mfrlochois.fr;0247915415;mfr.loches;0247915373;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77527666000021;MAISON FAMILIALE RURALE DE LOCHES;Oui;Non;Oui;Non;37132;LOCHES;MFR DU LOCHOIS;;;49 RUE H LHERITIER DE CHEZELLE;;37600 LOCHES;MFR DU LOCHOIS;;;49 RUE H LHERITIER DE CHEZELLE;;37600 LOCHES;2;03702484;Association de la MFR du Lochois à Loches;;;2020-09-29;0.980359744973717;47.1318925385058;199;03700350;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;neuvy-le-roi;37_neuvyleroi;61392;0371256P;0371256P;;mfr.neuvy-le-roi@mfr.asso.fr;mfr.neuvy-le-roi;24;Centre-Val de Loire;37;Indre-et-Loire;MFREO de Neuvy-Le-Roi;MFREO de Neuvy-Le-Roi;2002-09-01;;www.mfr-neuvyleroi.fr;0247244045;mfr.neuvy-le-roi;0247244620;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;42090267800010;MAISON FAMILIALE RURALE DE NEUVY LE ROI;Oui;Non;Non;Non;37170;NEUVY LE ROI;MFREO DE NEUVY-LE-ROI;;;8 RUE DE ROME;;37370 NEUVY LE ROI;MFREO DE NEUVY-LE-ROI;;;8 RUE DE ROME;;37370 NEUVY LE ROI;2;03702286;Association de la MFREO de Neuvy Le Roi;;;2020-09-29;0.59123;47.601226;197;03700152;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;Val de Loire Rougemont;37_valdelindre;63688;0371435J;0371253L;Erreur RNE !;mfr.Rougemont@mfr.asso.fr;mfr.Rougemont;24;Centre-Val de Loire;37;Indre-et-Loire;MFREO Rougemont de Tours;MFREO Rougemont de Tours;2002-09-01;;;0247855020;mfr.Rougemont;0247855029;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77534503600013;MAISON FAMILIALE RURALE DE TOURS;Oui;Non;Non;Non;37261;TOURS;MFREO ROUGEMONT DE TOURS;;;RUE DU TELEGRAPHE;;37100 TOURS;MFREO ROUGEMONT DE TOURS;;;RUE DU TELEGRAPHE;;37100 TOURS;2;03702682;Association de la MFREO Rougement de Tours;;;2020-09-29;0.71990479085063;47.4071006893414;201;03700548;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;valdelindre;37_valdeloire Rougemont ;61391;0371409F;0371409F;;mfr.valdelindre@mfr.asso.fr;mfr.valdelindre;24;Centre-Val de Loire;37;Indre-et-Loire;MFR du Val de l'Indre à Noyant de Touraine;MFR Val de l'Indre-NOYANT DE TOURAINE;2002-09-01;;www.mfrvaldelindre.fr;0247260731;mfr.valdelindre;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77531640900025;MAISON FAMILIALE RURALE DU VAL DE L'INDRE-NOYANT DE TO;Oui;Non;Oui;Non;37176;NOYANT DE TOURAINE;MFR DU VAL DE L INDRE;;;10 ROUTE DE BROU;;37800 NOYANT DE TOURAINE;MFR DU VAL DE L INDRE;;;10 ROUTE DE BROU;;37800 NOYANT DE TOURAINE;2;03702583;Association de la MFR du Val de l'Indre à Noyant T;;;2020-09-29;0.572116;47.109326;200;03700449;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;Chatte;38_chatte;21510;0382439V;0382439V;;mfr.Chatte@mfr.asso.fr;mfr.Chatte;84;Auvergne-Rhône-Alpes;38;Isère;MFREO de Chatte - Saint Marcellin;MFREO de Chatte - Saint Marcellin;1999-09-01;;;0476384306;mfr.Chatte;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;;MAISON FAMILIALE RURALE DE CHATTE;Oui;Non;Oui;Oui;38095;CHATTE;MFREO DE CHATTE - SAINT MARCELLIN;;;385 BIS ROUTE DE ST MARCELLIN;;38160 CHATTE;MFREO DE CHATTE - SAINT MARCELLIN;;;385 BIS ROUTE DE ST MARCELLIN;;38160 CHATTE;2;03804796;Association de la MFREO de Chatte - St Marcellin;;;2020-09-29;5.292764;45.143798;611;03801108;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;coublevie;38_coublevie;21508;0382437T;0382437T;;mfr.coublevie@mfr.asso.fr;mfr.coublevie;84;Auvergne-Rhône-Alpes;38;Isère;MFREO 'La Dalmassière' à Coublevie;M.F.R.E.O. de COUBLEVIE;1999-09-01;;www.mfrcoublevie.com;0476050522;mfr.coublevie;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77950175800014;MAISON FAMILIALE RURALE DE COUBLEVIE;Oui;Non;Non;Oui;38133;COUBLEVIE;MFREO DE COUBLEVIE;;;396 ROUTE DU GUILLON;;38500 COUBLEVIE;MFREO DE COUBLEVIE;;;396 ROUTE DU GUILLON;;38500 COUBLEVIE;2;03805489;Association de la MFREO La Dalmassière à Coublevie;;;2020-09-29;5.607205;45.358861;617;03801702;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
120;eyzin-pinet;38_eyzinpinet;21504;0382433N;0382433N;;mfr.eyzin-pinet@mfr.asso.fr;mfr.eyzin-pinet;84;Auvergne-Rhône-Alpes;38;Isère;MFREO Chaumont à Eyzin-Pinet;MAISON FAMILIALE RURALE DE CHAUMONT;1999-09-01;;www.mfr-eyzin-pinet.org;0474580507;mfr.eyzin-pinet;0474580906;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77950951200017;MAISON FAMILIALE RURALE D'EYZIN PINET;Oui;Non;Non;Oui;38160;EYZIN PINET;MAISON FAMILIALE RURALE DE CHAUMONT;;;393 MONTEE DE LA MARNIERE;;38780 EYZIN PINET;MAISON FAMILIALE RURALE DE CHAUMONT;;;393 MONTEE DE LA MARNIERE;;38780 EYZIN PINET;2;03804895;Association de la MFREO Chaumont à Eyzin-Pinet;;;2020-09-29;4.977513;45.500861;612;03801207;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;La-Grive;38_lagrive;21503;0382432M;0382432M;;mfr.La-Grive@mfr.asso.fr;mfr.La-Grive;84;Auvergne-Rhône-Alpes;38;Isère;MFREO 'La Grive' à Bourgoin Jallieu;MAISON FAMILIALE RURALE DE LA GRIVE;2002-09-01;;www.mfr-lagrive.org/;0474287210;mfr.La-Grive;0474285935;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;30283111000010;MAISON FAMILIALE RURALE DE BOURGOIN JALLIEU;Oui;Non;Non;Non;38053;BOURGOIN JALLIEU;MAISON FAMILIALE RURALE DE LA GRIVE;;LA GRIVE;88 ROUTE DE LYON;;38300 BOURGOIN JALLIEU;MAISON FAMILIALE RURALE DE LA GRIVE;;LA GRIVE;88 ROUTE DE LYON;;38300 BOURGOIN JALLIEU;2;03805192;Association de  MFREO La Grive à Bourgoin Jallieu;;;2020-09-29;5.279226;45.590858;615;03801504;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122;le-village.st-andre;38_le village standrelegaz;21506;0382435R;0382435R;;mfr.le-village.st-andre@mfr.asso.fr;mfr.le-village.st-andre;84;Auvergne-Rhône-Alpes;38;Isère;MFREO de Saint André le Gaz;MFR LE VILLAGE;1999-09-01;;www.mfr-village-saintandre.org;0474887302;mfr.le-village.st-andre;0474881206;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;42156674600010;MAISON FAMILIALE RURALE DE ST ANDRE LE GAZ;Oui;Non;Non;Non;38357;SAINT ANDRE LE GAZ;MFR LE VILLAGE;;;4 RUE MICHELET;;38490 ST ANDRE LE GAZ;MFR LE VILLAGE;;;4 RUE MICHELET;;38490 ST ANDRE LE GAZ;2;03805291;Association de la MFREO de St André le Gaz;;;2020-09-29;5.53552669484149;45.5483311224835;616;03801603;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
123;moirans;38_moirans;21316;0382938M;0382938M;;mfr.moirans@mfr.asso.fr;mfr.moirans;84;Auvergne-Rhône-Alpes;38;Isère;MFREO de Moirans;MFREO de Moirans;2002-09-01;;http://www.mfr-moirans.org/;0476354160;mfr.moirans;;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77957043100022;MAISON FAMILIALE RURALE DE MOIRANS;Oui;Non;Oui;Oui;38239;MOIRANS;MFREO DE MOIRANS;;;184 ROUTE DES BETHANIES;;38430 MOIRANS;MFREO DE MOIRANS;;;184 ROUTE DES BETHANIES;;38430 MOIRANS;2;03805588;Association de la MFREO de Moirans;;;2020-09-29;5.564736;45.321447;618;03801801;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;mozas;38_mozas bourgoinjallieu;21507;0382436S;0382436S;;mfr.mozas@mfr.asso.fr;mfr.mozas;84;Auvergne-Rhône-Alpes;38;Isère;MFREO Mozas à Bourgoin Jallieu;Maison Familiale Rurale de Mozas;1999-09-01;;www.mfr.asso.fr;0474931438;mfr.mozas;0474286432;Ministère en charge de l'Agriculture;Privé;MFREO;UNMFREO;Rythme approprié par alternance;77948850100015;MAISON FAMILIALE RURALE DE BOURGOIN JALLIEU;Oui;Non;Non;Non;38053;BOURGOIN JALLIEU;MAISON FAMILIALE RURALE DE MOZAS;;;4 CHEMIN DE MOZAS;;38300 BOURGOIN JALLIEU;MAISON FAMILIALE RURALE DE MOZAS;;;4 CHEMIN DE MOZAS;;38300 BOURGOIN JALLIEU;2;03804697;Association de la MFREO Mozas à Bourgoin Jallieu;;;2020-09-29;5.275977;45.615265;610;03801009;Etablissement d'enseignement;24;2020-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
